"","word","n","exNum"
"401","change",154,39
"402","system",154,23
"403","x",154,17
"404","adjective",153,13
"405","add",152,18
"406","mind",152,50
"407","spelling",152,22
"408","consider",151,16
"409","p",151,11
"410","thus",151,14
"411","book",150,36
"412","present",150,35
"413","clause",149,10
"414","bad",148,71
"415","certain",148,20
"416","six",148,10
"417","statement",148,13
"418","wouldn't",148,1
"419","informal",147,13
"420","mentioned",147,15
"421","under",146,33
"422","works",146,64
"423","discussion",145,10
"424","itself",145,14
"425","situation",145,13
"426","small",145,30
"427","ask",144,21
"428","got",144,80
"429","implies",144,12
"430","joke",144,19
"431","indeed",143,12
"432","list",143,23
"433","meant",143,18
"434","suggest",143,15
"435","greek",142,11
"436","refers",142,15
"437","simple",142,27
"438","actual",141,12
"439","century",141,11
"440","data",141,13
"441","aren't",140,1
"442","referring",140,15
"443","welcome",140,19
"444","happy",139,14
"445","came",138,71
"446","oxford",138,10
"447","phrases",138,19
"448","school",138,21
"449","source",138,15
"450","gender",137,11
"451","hard",137,53
"452","names",137,38
"453","version",137,12
"454","world",137,32
"455","according",136,12
"456","early",136,19
"457","once",136,26
"458","together",136,20
"459","yet",136,9
"460","idiom",135,11
"461","o",135,16
"462","edit",134,12
"463","known",134,18
"464","nice",134,21
"465","re",134,11
"466","start",134,23
"467","link",133,15
"468","order",132,47
"469","they're",132,0
"470","figures",131,19
"471","again",130,24
"472","k",130,13
"473","please",130,16
"474","bed",129,22
"475","page",129,15
"476","done",128,55
"477","life",128,41
"478","middle",128,20
"479","negative",128,27
"480","vs",128,10
"481","based",127,26
"482","user",127,10
"483","anyone",126,12
"484","here's",126,10
"485","reading",126,44
"486","unless",126,12
"487","become",125,14
"488","clearly",125,16
"489","en",125,16
"490","ball",124,25
"491","class",124,23
"492","play",124,72
"493","pronounce",124,19
"494","appropriate",123,14
"495","company",123,24
"496","grammatical",123,12
"497","hear",123,20
"498","today",123,15
"499","acceptable",122,12
"500","love",122,23
"501","completely",121,24
"502","try",121,29
"503","author",120,14
"504","oed",120,4
"505","tired",120,21
"506","let",119,21
"507","therefore",119,11
"508","asked",116,11
"509","commonly",116,11
"510","conversation",116,11
"511","everyone",116,10
"512","further",116,24
"513","numbers",116,38
"514","spanish",116,10
"515","third",116,14
"516","books",115,36
"517","letters",115,13
"518","making",115,79
"519","opinion",115,16
"520","popular",115,18
"521","whole",115,22
"522","code",114,20
"523","fine",114,39
"524","r",114,11
"525","action",113,30
"526","dictionaries",113,14
"527","doubt",113,15
"528","house",113,29
"529","information",113,17
"530","remember",113,21
"531","tense",113,12
"532","speak",112,28
"533","distinction",111,18
"534","explanation",111,13
"535","food",111,18
"536","meal",111,12
"537","title",111,15
"538","verbs",111,6
"539","email",110,13
"540","live",110,39
"541","mark",110,39
"542","room",110,16
"543","business",109,26
"544","choice",109,23
"545","construction",109,12
"546","i'll",109,0
"547","spoken",109,25
"548","experience",108,17
"549","left",108,33
"550","proper",108,19
"551","issue",107,28
"552","john",107,10
"553","technical",107,19
"554","close",106,70
"555","error",106,12
"556","guys",106,12
"557","longer",106,44
"558","children",105,16
"559","effect",105,24
"560","none",105,18
"561","definitely",104,11
"562","including",104,15
"563","org",104,3
"564","paper",104,22
"565","punctuation",104,10
"566","queue",104,10
"567","search",104,24
"568","show",104,42
"569","suppose",104,16
"570","depends",103,15
"571","god",103,13
"572","hot",103,37
"573","op",103,9
"574","origin",103,14
"575","perfectly",103,14
"576","sort",103,22
"577","computer",102,10
"578","easy",102,24
"579","four",102,11
"580","instance",102,14
"581","l",102,12
"582","otherwise",102,16
"583","period",102,18
"584","adjectives",101,13
"585","against",101,22
"586","large",101,20
"587","whatever",101,19
"588","head",100,63
"589","myself",100,19
"590","natural",100,27
"591","taken",100,153
"592","big",99,27
"593","easily",99,13
"594","goes",99,108
"595","looks",99,58
"596","prefer",99,12
"597","relative",99,15
"598","site",99,13
"599","specifically",99,13
"600","upon",99,84
"601","z",99,11
"602","appears",98,17
"603","follow",98,30
"604","incorrect",98,13
"605","oh",98,11
"606","reich",98,10
"607","result",98,11
"608","states",98,28
"609","whose",98,22
"610","de",97,12
"611","fewer",97,16
"612","include",97,15
"613","late",97,23
"614","preposition",97,10
"615","within",97,19
"616","complex",96,16
"617","except",96,19
"618","later",96,25
"619","nouns",96,10
"620","understood",96,24
"621","v",96,10
"622","explain",95,20
"623","mom",95,10
"624","necessarily",95,12
"625","practice",95,22
"626","separate",95,26
"627","status",95,12
"628","able",94,6
"629","accepted",94,19
"630","history",94,15
"631","main",94,20
"632","onus",94,10
"633","side",94,30
"634","year",94,18
"635","coming",93,74
"636","compare",93,22
"637","particularly",93,11
"638","parts",93,42
"639","somewhat",93,11
"640","argument",92,17
"641","days",92,22
"642","depending",92,15
"643","difficult",92,17
"644","equivalent",92,12
"645","followed",92,30
"646","opposite",92,20
"647","view",92,31
"648","what's",92,24
"649","evidence",91,18
"650","level",91,29
"651","mention",91,15
"652","ones",91,37
"653","possibly",91,13
"654","sport",91,19
"655","suggests",91,15
"656","whereas",91,12
"657","among",90,18
"658","during",90,12
"659","moved",90,30
"660","open",90,59
"661","response",90,10
"662","tend",90,18
"663","useful",90,12
"664","w",90,10
"665","asking",89,11
"666","contexts",89,11
"667","football",89,11
"668","future",89,14
"669","historical",89,13
"670","indicate",89,14
"671","normal",89,11
"672","originally",89,14
"673","typically",89,12
"674","valid",89,13
"675","anyway",88,15
"676","complicated",88,13
"677","connotation",88,9
"678","below",87,24
"679","car",87,10
"680","chance",87,23
"681","points",87,46
"682","syllable",87,12
"683","themselves",87,15
"684","tuesday",87,10
"685","double",86,39
"686","eat",86,20
"687","girls",86,13
"688","homework",86,11
"689","log",86,19
"690","slang",86,10
"691","slightly",86,22
"692","special",86,26
"693","taught",86,17
"694","dash",85,28
"695","familiar",85,18
"696","gets",85,100
"697","human",85,15
"698","latter",85,25
"699","mail",85,13
"700","perfect",85,23
"701","wiki",85,6
"702","ago",84,12
"703","http",84,0
"704","polite",84,13
"705","taking",84,152
"706","thinking",84,33
"707","topic",84,11
"708","various",84,20
"709","went",84,108
"710","blue",83,22
"711","etymology",83,8
"712","fit",83,32
"713","gives",83,71
"714","meet",83,29
"715","chat",82,15
"716","extended",82,22
"717","ing",82,0
"718","keep",82,61
"719","kids",82,12
"720","meanings",82,20
"721","wasn't",82,0
"722","added",81,18
"723","neither",81,27
"724","results",81,11
"725","shows",81,42
"726","ways",81,30
"727","air",80,37
"728","express",80,25
"729","frequently",80,10
"730","friends",80,14
"731","imply",80,12
"732","mostly",80,11
"733","neutral",80,17
"734","ambiguity",79,12
"735","americans",79,12
"736","axe",79,15
"737","door",79,17
"738","emperor",79,11
"739","england",79,10
"740","law",79,24
"741","multiple",79,11
"742","party",79,23
"743","racist",79,4
"744","vowels",79,5
"745","across",78,19
"746","alternative",78,15
"747","country",78,17
"748","current",78,19
"749","effort",78,19
"750","entry",78,10
"751","intended",78,18
"752","talk",78,35
"753","ten",78,12
"754","amount",77,14
"755","balls",77,25
"756","convention",77,11
"757","ending",77,40
"758","holy",77,21
"759","infinitive",77,6
"760","naked",77,22
"761","nor",77,6
"762","software",77,11
"763","value",77,21
"764","webster",77,10
"765","apostrophe",76,7
"766","count",76,29
"767","funny",76,18
"768","online",76,15
"769","personal",76,21
"770","self",76,14
"771","situations",76,13
"772","turn",76,94
"773","act",75,38
"774","along",75,25
"775","disagree",75,14
"776","due",75,23
"777","he's",75,6
"778","obvious",75,11
"779","prefix",75,14
"780","references",75,15
"781","wife",75,13
"782","worth",75,20
"783","fat",74,29
"784","figure",74,29
"785","girl",74,13
"786","normally",74,11
"787","outside",74,29
"788","translation",74,15
"789","appear",73,17
"790","away",73,25
"791","became",73,13
"792","character",73,22
"793","emphasis",73,14
"794","mouse",73,11
"795","personally",73,14
"796","walk",73,38
"797","compared",72,22
"798","confusion",72,14
"799","dead",72,47
"800","entirely",72,11
"801","follows",72,30
"802","getting",72,100
"803","learn",72,20
"804","mine",72,17
"805","poor",72,30
"806","spaces",72,21
"807","square",72,33
"808","stop",72,32
"809","you'd",72,1
"810","yourself",72,17
"811","audience",71,14
"812","cause",71,18
"813","complete",71,24
"814","couldn't",71,0
"815","cut",71,64
"816","don",71,11
"817","geek",71,12
"818","leave",71,34
"819","literally",71,17
"820","problems",71,12
"821","suspect",71,14
"822","advice",70,19
"823","apply",70,24
"824","countries",70,17
"825","die",70,27
"826","minus",70,15
"827","performant",70,-1
"828","remove",70,21
"829","run",70,192
"830","sorry",70,15
"831","stackexchange",70,-1
"832","wiktionary",70,-1
"833","wrote",70,26
"834","becomes",69,14
"835","condition",69,21
"836","happens",69,20
"837","imagine",69,17
"838","merriam",69,5
"839","mr",69,12
"840","process",69,27
"841","science",69,11
"842","supper",69,13
"843","www",69,0
"844","consonant",68,8
"845","fairly",68,15
"846","horse",68,18
"847","japanese",68,10
"848","learned",68,24
"849","learning",68,24
"850","proverb",68,12
"851","reader",68,13
"852","size",68,24
"853","started",68,23
"854","strong",68,36
"855","we're",68,1
"856","adding",67,18
"857","aware",67,12
"858","clauses",67,8
"859","front",67,40
"860","night",67,19
"861","one's",67,31
"862","pronouns",67,5
"863","provide",67,14
"864","solution",67,14
"865","sports",67,20
"866","students",67,12
"867","tenses",67,11
"868","top",67,34
"869","white",67,16
"870","attention",66,13
"871","changed",66,37
"872","culture",66,12
"873","defined",66,16
"874","earlier",66,19
"875","empire",66,14
"876","feeling",66,47
"877","game",66,29
"878","guide",66,17
"879","hope",66,18
"880","job",66,27
"881","light",66,75
"882","political",66,16
"883","position",66,28
"884","quotation",66,11
"885","relevant",66,11
"886","university",66,10
"887","age",65,29
"888","ambiguous",65,17
"889","area",65,16
"890","begin",65,19
"891","despite",65,11
"892","extra",65,16
"893","f",65,11
"894","happen",65,20
"895","image",65,21
"896","immediately",65,16
"897","items",65,12
"898","lost",65,47
"899","nude",65,13
"900","op's",65,9
"901","pattern",65,15
"902","shall",65,16
"903","subjunctive",65,9
"904","wants",65,28
"905","assume",64,21
"906","beginning",64,28
"907","claim",64,20
"908","exist",64,14
"909","expect",64,19
"910","field",64,30
"911","germanic",64,10
"912","lack",64,20
"913","similarly",64,12
"914","told",64,26
"915","understanding",64,30
"916","water",64,37
"917","won't",64,1
"918","applied",63,25
"919","contractions",63,10
"920","directly",63,17
"921","grammatically",63,11
"922","logical",63,13
"923","replaced",63,17
"924","support",63,20
"925","working",63,62
"926","boys",62,13
"927","compound",62,19
"928","contraction",62,10
"929","easier",62,24
"930","excellent",62,10
"931","false",62,21
"932","interpretation",62,13
"933","lower",62,55
"934","older",62,39
"935","parentheses",62,6
"936","purpose",62,14
"937","writers",62,13
"938","black",61,39
"939","free",61,44
"940","haven't",61,0
"941","lunch",61,14
"942","mickey",61,10
"943","per",61,18
"944","power",61,32
"945","referred",61,15
"946","spelled",61,22
"947","student",61,12
"948","suggested",61,15
"949","week",61,14
"950","apparently",60,17
"951","concept",60,13
"952","described",60,16
"953","em",60,13
"954","former",60,16
"955","improve",60,17
"956","jack",60,20
"957","material",60,22
"958","ok",60,20
"959","option",60,14
"960","paragraph",60,10
"961","preferred",60,12
"962","previous",60,13
"963","saw",60,43
"964","takes",60,158
"965","theory",60,24
"966","thou",60,11
"967","train",60,17
"968","united",60,14
"969","wanted",60,28
"970","widely",60,14
"971","you've",60,1
"972","ability",59,16
"973","average",59,19
"974","boy",59,13
"975","cat",59,11
"976","content",59,19
"977","direct",59,27
"978","everything",59,12
"979","money",59,22
"980","quality",59,24
"981","sources",59,15
"982","teacher",59,10
"983","took",59,152
"984","fall",58,63
"985","idiomatic",58,10
"986","involved",58,22
"987","male",58,17
"988","objects",58,15
"989","quoting",58,12
"990","rarely",58,11
"991","rep",58,10
"992","se",58,11
"993","somebody",58,10
"994","unfortunately",58,15
"995","basically",57,10
"996","brain",57,14
"997","dear",57,10
"998","derived",57,12
"999","fair",57,36
"1000","final",57,17
"1001","germany",57,10
"1002","individual",57,19
"1003","item",57,12
"1004","legal",57,13
"1005","needed",57,23
"1006","quotes",57,12
"1007","sex",57,13
"1008","store",57,16
"1009","stress",57,17
"1010","suffix",57,6
"1011","syllables",57,12
"1012","addition",56,15
"1013","correctly",56,18
"1014","dr",56,10
"1015","https",56,-1
"1016","knows",56,19
"1017","quoted",56,12
"1018","swedish",56,10
"1019","till",56,16
"1020","war",56,22
"1021","zomg",56,-1
"1022","apple",55,10
"1023","child",55,17
"1024","couple",55,18
"1025","derogatory",55,11
"1026","ed",55,13
"1027","european",55,11
"1028","exact",55,16
"1029","family",55,24
"1030","fire",55,32
"1031","guy",55,12
"1032","home",55,32
"1033","merely",55,11
"1034","required",55,17
"1035","strange",55,19
"1036","versus",55,12
"1037","woman",55,25
"1038","yours",55,20
"1039","academic",54,16
"1040","activity",54,12
"1041","cambridge",54,10
"1042","constructions",54,12
"1043","egg",54,21
"1044","hence",54,14
"1045","internet",54,11
"1046","necessary",54,17
"1047","nominative",54,5
"1048","notice",54,26
"1049","obviously",54,11
"1050","odd",54,22
"1051","reasons",54,14
"1052","sign",54,29
"1053","story",54,15
"1054","thousands",54,11
"1055","traditional",54,10
"1056","applies",53,24
"1057","basic",53,16
"1058","bill",53,20
"1059","definitions",53,12
"1060","dialect",53,12
"1061","female",53,17
"1062","interest",53,24
"1063","mathematical",53,12
"1064","replace",53,17
"1065","root",53,23
"1066","social",53,19
"1067","squared",53,33
"1068","voice",53,29
"1069","worse",53,82
"1070","york",53,10
"1071","america",52,10
"1072","available",52,12
"1073","differences",52,19
"1074","five",52,11
"1075","half",52,23
"1076","happened",52,20
"1077","host",52,16
"1078","hyphen",52,6
"1079","initial",52,11
"1080","interested",52,26
"1081","let's",52,20
"1082","passive",52,14
"1083","reply",52,13
"1084","supposed",52,19
"1085","ve",52,9
"1086","wish",52,25
"1087","wonder",52,18
"1088","ye",52,15
"1089","approach",51,21
"1090","exception",51,14
"1091","file",51,16
"1092","helpful",51,11
"1093","living",51,41
"1094","mc",51,11
"1095","missing",51,22
"1096","rare",51,16
"1097","serious",51,16
"1098","shorter",51,26
"1099","shouldn't",51,0
"1100","sleeping",51,21
"1101","symbol",51,11
"1102","units",51,13
"1103","aspect",50,19
"1104","check",50,45
"1105","choose",50,25
"1106","entire",50,16
"1107","exists",50,14
"1108","friend",50,14
"1109","himself",50,17
"1110","key",50,24
"1111","morning",50,14
"1112","null",50,8
"1113","parents",50,9
"1114","putting",50,82
"1115","q",50,10
"1116","recent",50,12
"1117","research",50,12
"1118","surely",50,14
"1119","archaic",49,14
"1120","autumn",49,11
"1121","convey",49,11
"1122","corpus",49,11
"1123","equals",49,12
"1124","expected",49,19
"1125","logic",49,14
"1126","low",49,50
"1127","mass",49,23
"1128","objective",49,13
"1129","pass",49,68
"1130","positive",49,32
"1131","russian",49,10
"1132","sarcastic",49,12
"1133","sexual",49,16
"1134","stand",49,62
"1135","strictly",49,12
"1136","towards",49,18
"1137","translated",49,14
"1138","variant",49,13
"1139","young",49,19
"1140","abbreviation",48,11
"1141","articles",48,16
"1142","calling",48,71
"1143","confused",48,18
"1144","er",48,10
"1145","established",48,15
"1146","evening",48,38
"1147","famous",48,16
"1148","green",48,24
"1149","italian",48,11
"1150","knew",48,18
"1151","lines",48,72
"1152","million",48,15
"1153","ngram",48,-1
"1154","occur",48,12
"1155","offensive",48,17
"1156","official",48,14
"1157","picture",48,20
"1158","playing",48,72
"1159","poem",48,12
"1160","provided",48,16
"1161","rain",48,21
"1162","recently",48,12
"1163","serial",48,13
"1164","tea",48,11
"1165","technically",48,19
"1166","ad",47,16
"1167","address",47,22
"1168","alone",47,21
"1169","deal",47,29
"1170","expressions",47,17
"1171","extremely",47,11
"1172","hi",47,11
"1173","hold",47,64
"1174","ic",47,8
"1175","knowledge",47,18
"1176","length",47,21
"1177","marks",47,39
"1178","numerals",47,8
"1179","packed",47,36
"1180","professional",47,21
"1181","regular",47,29
"1182","relatively",47,11
"1183","rest",47,32
"1184","starting",47,23
"1185","void",47,17
"1186","apartment",46,11
"1187","combination",46,13
"1188","dog",46,16
"1189","dutch",46,12
"1190","hebrew",46,10
"1191","hospital",46,11
"1192","includes",46,15
"1193","mood",46,15
"1194","plenty",46,21
"1195","product",46,13
"1196","regards",46,20
"1197","rude",46,19
"1198","significant",46,11
"1199","throw",46,48
"1200","vote",46,19
"1201","watch",46,32
"1202","website",46,7
"1203","writer",46,13
"1204","accent",45,21
"1205","argue",45,20
"1206","changes",45,39
"1207","christian",45,17
"1208","co",45,10
"1209","confusing",45,19
"1210","death",45,21
"1211","describing",45,16
"1212","feels",45,36
"1213","hit",45,44
"1214","implication",45,16
"1215","included",45,16
"1216","local",45,16
"1217","mother",45,18
"1218","opposed",45,16
"1219","plus",45,18
"1220","pop",45,34
"1221","religious",45,17
"1222","requires",45,17
"1223","seeing",45,41
"1224","semantic",45,10
"1225","share",45,20
"1226","team",45,13
"1227","tl",45,5
"1228","totally",45,10
"1229","urban",45,11
"1230","via",45,12
"1231","behind",44,26
"1232","cheese",44,11
"1233","community",44,15
"1234","edited",44,12
"1235","explained",44,20
"1236","finally",44,11
"1237","literal",44,15
"1238","lots",44,23
"1239","mari",44,7
"1240","nevertheless",44,11
"1241","phenomenon",44,11
"1242","readers",44,13
"1243","sleep",44,19
"1244","stressed",44,16
"1245","y'all",44,0
"1246","abbreviations",43,11
"1247","ate",43,18
"1248","attempt",43,14
"1249","broken",43,112
"1250","copy",43,19
"1251","differently",43,19
"1252","ends",43,52
"1253","higher",43,45
"1254","irish",43,11
"1255","james",43,10
"1256","microsoft",43,6
"1257","nature",43,22
"1258","noted",43,27
"1259","parenthesis",43,6
"1260","places",43,53
"1261","regard",43,20
"1262","shift",43,16
"1263","stay",43,17
"1264","unreal",43,11
"1265","weird",43,16
"1266","accept",42,18
"1267","advance",42,39
"1268","anywhere",42,13
"1269","awkward",42,19
"1270","baseball",42,10
"1271","beyond",42,16
"1272","describes",42,16
"1273","distinguish",42,19
"1274","fully",42,12
"1275","grew",42,24
"1276","highly",42,13
"1277","hour",42,21
"1278","idioms",42,7
"1279","independent",42,21
"1280","larger",42,20
"1281","lists",42,24
"1282","math",42,10
"1283","nearly",42,14
"1284","nonetheless",42,10
"1285","office",42,21
"1286","physical",42,18
"1287","played",42,72
"1288","pregnant",42,15
"1289","press",42,32
"1290","respect",42,25
"1291","shakespeare",42,10
"1292","south",42,11
"1293","structure",42,14
"1294","test",42,13
"1295","web",42,13
"1296","acronym",41,6
"1297","allow",41,17
"1298","art",41,41
"1299","baby",41,16
"1300","base",41,31
"1301","body",41,21
"1302","bring",41,39
"1303","cap",41,16
"1304","capitalized",41,12
"1305","comparison",41,10
"1306","decided",41,19
"1307","defines",41,15
"1308","description",41,11
"1309","eventually",41,11
"1310","exceptions",41,14
"1311","fixed",41,36
"1312","fun",41,17
"1313","giving",41,71
"1314","inside",41,28
"1315","movie",41,14
"1316","named",41,38
"1317","piece",41,37
"1318","public",41,23
"1319","red",41,20
"1320","relationship",41,13
"1321","rent",41,15
"1322","somewhere",41,14
"1323","systems",41,23
"1324","yiddish",41,10
"1325","zero",41,16
"1326","alphabet",40,13
"1327","bet",40,17
"1328","contrast",40,13
"1329","eggs",40,21
"1330","essentially",40,16
"1331","fast",40,28
"1332","function",40,13
"1333","gave",40,67
"1334","jane",40,10
"1335","looked",40,58
"1336","manual",40,16
"1337","meat",40,16
"1338","music",40,13
"1339","north",40,15
"1340","obama",40,5
"1341","posted",40,20
"1342","preference",40,11
"1343","programming",40,18
"1344","project",40,13
"1345","published",40,15
"1346","pun",40,10
"1347","stack",40,18
"1348","strongly",40,15
"1349","you'll",40,1
"1350","accurate",39,11
"1351","actions",39,30
"1352","analysis",39,12
"1353","blog",39,12
"1354","dialects",39,12
"1355","dollar",39,10
"1356","eating",39,21
"1357","europe",39,10
"1358","html",39,9
"1359","ipa",39,2
"1360","machine",39,15
"1361","message",39,13
"1362","pre",39,0
"1363","president",39,10
"1364","reasonable",39,16
"1365","regardless",39,12
"1366","restrictive",39,11
"1367","road",39,15
"1368","roman",39,12
"1369","service",39,32
"1370","sharing",39,21
